Ejercicio,Devengado,Entidad
2015,368535078.63,MINISTERIO DE RELACIONES   EXTERIORES
2015,3912803085.08,MINISTERIO DE GOBERNACIÓN
2015,1932488474.13,MINISTERIO DE LA DEFENSA NACIONAL
2015,12084374601.23,MINISTERIO DE EDUCACIÓN
2015,606441389.89,MINISTERIO DE TRABAJO Y PREVISIÓN SOCIAL
2015,144170619,MINISTERIO DE AMBIENTE Y RECURSOS NATURALES
2015,201899992.1,PRESIDENCIA DE LA REPÚBLICA
2015,5511722378.6,MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL
2015,263415747.02,MINISTERIO DE FINANZAS PÚBLICAS
2015,10225901773.84,SERVICIOS DE LA DEUDA PUBLICA
2015,1113461855.87,SECRETARÍAS Y OTRAS DEPENDENCIAS DEL EJECUTIVO
2015,20304620353.7,OBLIGACIONES DEL ESTADO A CARGO DEL TESORO
2015,61650469.79,PROCURADURIA GENERAL DE LA NACIÓN
2015,3580200237.77,"MINISTERIO DE  COMUNICACIONES, INFRAESTRUCTURA Y VIVIENDA"
2015,70789396.57,MINISTERIO DE ENERGÍA Y MINAS
2015,297672034.73,MINISTERIO DE CULTURA Y DEPORTES
2015,239578444.08,MINISTERIO DE ECONOMÍA
2015,869992388.05,"MINISTERIO DE AGRICULTURA, GANADERÍA Y ALIMENTACIÓN"
2015,710590721.34,MINISTERIO DE DESARROLLO SOCIAL
2016,418131049.37,MINISTERIO DE RELACIONES   EXTERIORES
2016,4160574830.76,MINISTERIO DE GOBERNACIÓN
2016,2211298274.12,MINISTERIO DE LA DEFENSA NACIONAL
2016,12148748492.04,MINISTERIO DE EDUCACIÓN
2016,610794884.05,MINISTERIO DE TRABAJO Y PREVISIÓN SOCIAL
2016,122021877.84,MINISTERIO DE AMBIENTE Y RECURSOS NATURALES
2016,198930111.34,PRESIDENCIA DE LA REPÚBLICA
2016,5930774356.16,MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL
2016,261592882.99,MINISTERIO DE FINANZAS PÚBLICAS
2016,10339851741.28,SERVICIOS DE LA DEUDA PUBLICA
2016,1029679132.09,SECRETARÍAS Y OTRAS DEPENDENCIAS DEL EJECUTIVO
2016,23488299745.19,OBLIGACIONES DEL ESTADO A CARGO DEL TESORO
2016,68140095.49,PROCURADURIA GENERAL DE LA NACIÓN
2016,2199525781.03,"MINISTERIO DE  COMUNICACIONES, INFRAESTRUCTURA Y VIVIENDA"
2016,67972188.04,MINISTERIO DE ENERGÍA Y MINAS
2016,297786614.39,MINISTERIO DE CULTURA Y DEPORTES
2016,261427517.45,MINISTERIO DE ECONOMÍA
2016,1036077574.6,"MINISTERIO DE AGRICULTURA, GANADERÍA Y ALIMENTACIÓN"
2016,844377282.31,MINISTERIO DE DESARROLLO SOCIAL
2018,311530697.38,MINISTERIO DE GOBERNACIÓN
2018,141233849.91,MINISTERIO DE LA DEFENSA NACIONAL
2018,1243719634.79,MINISTERIO DE EDUCACIÓN
2018,1928104.5,MINISTERIO DE TRABAJO Y PREVISIÓN SOCIAL
2018,7103814.77,MINISTERIO DE AMBIENTE Y RECURSOS NATURALES
2018,15599359.24,PRESIDENCIA DE LA REPÚBLICA
2018,41792939.59,MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL
2018,19951296.82,MINISTERIO DE FINANZAS PÚBLICAS
2018,425983082.98,SERVICIOS DE LA DEUDA PUBLICA
2018,48251087.3,SECRETARÍAS Y OTRAS DEPENDENCIAS DEL EJECUTIVO
2018,1717628439.94,OBLIGACIONES DEL ESTADO A CARGO DEL TESORO
2018,8195880.84,"MINISTERIO DE  COMUNICACIONES, INFRAESTRUCTURA Y VIVIENDA"
2018,4762406.1,MINISTERIO DE ENERGÍA Y MINAS
2018,4468880.17,MINISTERIO DE CULTURA Y DEPORTES
2018,11766877.77,MINISTERIO DE ECONOMÍA
2018,13350495.88,"MINISTERIO DE AGRICULTURA, GANADERÍA Y ALIMENTACIÓN"
2018,20313407.57,MINISTERIO DE RELACIONES EXTERIORES
2018,5999658.19,PROCURADURÍA GENERAL DE LA NACIÓN
2018,5484259.17,MINISTERIO DE DESARROLLO SOCIAL
2017,410670379.59,MINISTERIO DE RELACIONES   EXTERIORES
2017,4463815829.3,MINISTERIO DE GOBERNACIÓN
2017,2020985790.31,MINISTERIO DE LA DEFENSA NACIONAL
2017,12818905874.6,MINISTERIO DE EDUCACIÓN
2017,608672389.72,MINISTERIO DE TRABAJO Y PREVISIÓN SOCIAL
2017,110132890.24,MINISTERIO DE AMBIENTE Y RECURSOS NATURALES
2017,213664655.52,PRESIDENCIA DE LA REPÚBLICA
2017,5940157003.13,MINISTERIO DE SALUD PÚBLICA Y ASISTENCIA SOCIAL
2017,273915513.49,MINISTERIO DE FINANZAS PÚBLICAS
2017,11945924055.33,SERVICIOS DE LA DEUDA PUBLICA
2017,1087553973.63,SECRETARÍAS Y OTRAS DEPENDENCIAS DEL EJECUTIVO
2017,25344388562.11,OBLIGACIONES DEL ESTADO A CARGO DEL TESORO
2017,91824326.98,PROCURADURIA GENERAL DE LA NACIÓN
2017,2885489044.75,"MINISTERIO DE  COMUNICACIONES, INFRAESTRUCTURA Y VIVIENDA"
2017,67916971.67,MINISTERIO DE ENERGÍA Y MINAS
2017,371042981.79,MINISTERIO DE CULTURA Y DEPORTES
2017,546370876.79,MINISTERIO DE ECONOMÍA
2017,1478498080.82,"MINISTERIO DE AGRICULTURA, GANADERÍA Y ALIMENTACIÓN"
2017,537662280.96,MINISTERIO DE DESARROLLO SOCIAL
